name,url,image,latitude,longitude,accessibility
Roura,https://www.kafelanka.cz/mista/roury.php,https://www.kafelanka.cz/v/roury-6.jpg,49.20293,16.5696497222,přístupné
Teplovod,https://www.kafelanka.cz/mista/parovod.php,https://www.kafelanka.cz/v/parovod-1.jpg,49.2034377778,16.5934219444,přístupné
Kryt,https://www.kafelanka.cz/mista/kryt7.php,https://www.kafelanka.cz/v/kryt7-1.jpg,49.1889638889,16.5974338889,přístupné
Udírna,https://www.kafelanka.cz/mista/udirna.php,https://www.kafelanka.cz/v/udirna-1.jpg,49.1959419444,16.5981547222,přístupné
Kryt,https://www.kafelanka.cz/mista/kryt6.php,https://www.kafelanka.cz/v/kryt6-2.jpg,49.1963527778,16.6002777778,přístupné
Jeskyňka,https://www.kafelanka.cz/mista/jeskyn2.php,https://www.kafelanka.cz/v/jeskyn2-1.jpg,49.1952647222,16.5952277778,přístupné
Sklepení,https://www.kafelanka.cz/mista/sklep3.php,https://www.kafelanka.cz/v/sklep3-2.jpg,49.1942727778,16.5981097222,přístupné
Prachárna,https://www.kafelanka.cz/mista/spl.php,https://www.kafelanka.cz/v/spl-1.jpg,49.1944361111,16.6019972222,přístupné
Zahrady,https://www.kafelanka.cz/mista/bouda.php,https://www.kafelanka.cz/v/bouda-1.jpg,49.1962694444,16.596775,přístupné
Provaznický vršek,https://www.kafelanka.cz/mista/prvrsek.php,https://www.kafelanka.cz/v/prvrsek-1.jpg,49.1913497222,16.6008997222,přístupné
Fons salitus,https://www.kafelanka.cz/mista/fonssalutis.php,https://www.kafelanka.cz/v/fonssalutis-2.jpg,49.1915266667,16.6047216667,přístupné
Vodojem,https://www.kafelanka.cz/mista/vodojem2.php,https://www.kafelanka.cz/v/vodojem2-1.jpg,49.190865,16.6060433333,přístupné
U Fajfky,https://www.kafelanka.cz/mista/fajfka.php,https://www.kafelanka.cz/v/fajfka-1.jpg,49.19145,16.607195,přístupné
Běhounská,https://www.kafelanka.cz/mista/behounska.php,https://www.kafelanka.cz/v/behoun-4.jpg,49.1978847222,16.609545,přístupné
Kašna,https://www.kafelanka.cz/mista/kasna5.php,https://www.kafelanka.cz/v/kasna5-1.jpg,49.1990630556,16.6061347222,přístupné
Parovod,https://www.kafelanka.cz/mista/trubky.php,https://www.kafelanka.cz/v/trubky-1.jpg,49.2246266667,16.6346066667,přístupné
Propustek,https://www.kafelanka.cz/mista/tunel.php,https://www.kafelanka.cz/v/tunel-4.jpg,49.2240116667,16.635365,přístupné
Propustek,https://www.kafelanka.cz/mista/tunel.php,https://www.kafelanka.cz/v/tunel-1.jpg,49.2233997222,16.6353183333,přístupné
Propustek,https://www.kafelanka.cz/mista/tunel.php,https://www.kafelanka.cz/v/tunel-5.jpg,49.2254277778,16.6357666667,přístupné
Propustek,https://www.kafelanka.cz/mista/tunel.php,https://www.kafelanka.cz/v/tunel-7.jpg,49.2264,16.6365333333,přístupné
Propustek,https://www.kafelanka.cz/mista/tunel.php,https://www.kafelanka.cz/v/tunel-10.jpg,49.2277277778,16.6383277778,přístupné
Úkryt,https://www.kafelanka.cz/mista/ukryt.php,https://www.kafelanka.cz/v/ukryt-1.jpg,49.2219666667,16.6497980556,přístupné
Podchod,https://www.kafelanka.cz/mista/podchod2.php,https://www.kafelanka.cz/v/podchod2-1.jpg,49.2217944444,16.6516388889,přístupné
Úkryty,https://www.kafelanka.cz/mista/ukryt.php,https://www.kafelanka.cz/v/ukryt-1.jpg,49.2221316667,16.6544647222,přístupné
Kryt,https://www.kafelanka.cz/mista/kryt4.php,https://www.kafelanka.cz/v/kryt4-1.jpg,49.2211466667,16.6540730556,přístupné
Studánka,https://www.kafelanka.cz/mista/studanka.php,https://www.kafelanka.cz/v/studanka-1.jpg,49.2209830556,16.6546116667,přístupné
Podchod,https://www.kafelanka.cz/mista/podchod2.php,https://www.kafelanka.cz/v/podchod2-7.jpg,49.2147194444,16.6461833333,přístupné
Jeskyňka II,https://www.kafelanka.cz/mista/jeskyn3.php,https://www.kafelanka.cz/v/jeskyn3-1.jpg,49.1994666667,16.5680888889,přístupné
Nádrž,https://www.kafelanka.cz/mista/nadrz.php,https://www.kafelanka.cz/v/nadrz-1.jpg,49.2103055556,16.5961944444,přístupné
Kontejner,https://www.kafelanka.cz/mista/kontejner.php,https://www.kafelanka.cz/v/kontejner-2.jpg,49.1916566667,16.6550716667,přístupné
Vodovod,https://www.kafelanka.cz/mista/vodovod.php,https://www.kafelanka.cz/v/vodovod-1.jpg,49.1877030556,16.65895,přístupné
Jeskyňka,https://www.kafelanka.cz/mista/jeskynka.php,https://www.kafelanka.cz/v/jeskynka-1.jpg,49.1900616667,16.6721166667,přístupné
Jeskyňka,https://www.kafelanka.cz/mista/jeskynka.php,https://www.kafelanka.cz/v/jeskynka-1.jpg,49.1900680556,16.6724330556,přístupné
Sklad,https://www.kafelanka.cz/mista/sklad.php,https://www.kafelanka.cz/v/sklad-1.jpg,49.189745,16.672875,přístupné
Bod,https://www.kafelanka.cz/mista/bod.php,https://www.kafelanka.cz/v/bod-2.jpg,49.1905472222,16.6756916667,přístupné
Pozorovatelna,https://www.kafelanka.cz/mista/pozorovatelna.php,https://www.kafelanka.cz/v/pozorovatelna-1.jpg,49.19185,16.6743130556,přístupné
Štola III,https://www.kafelanka.cz/mista/stola3.php,https://www.kafelanka.cz/v/stola3-1.jpg,49.191405,16.6740930556,přístupné
Štola II,https://www.kafelanka.cz/mista/stola2.php,https://www.kafelanka.cz/v/stola2-1.jpg,49.1909805556,16.6740472222,přístupné
Štola II,https://www.kafelanka.cz/mista/stola2.php,https://www.kafelanka.cz/v/stola2-6.jpg,49.1908747222,16.6736680556,přístupné
Štola I,https://www.kafelanka.cz/mista/stola1.php,https://www.kafelanka.cz/v/stola1-1.jpg,49.1906230556,16.6732497222,přístupné
Kryt CO,https://www.kafelanka.cz/mista/krytco.php,https://www.kafelanka.cz/v/krytco-1.jpg,49.1905430556,16.6731480556,přístupné
Kryt,https://www.kafelanka.cz/mista/kryt.php,https://www.kafelanka.cz/v/kryt-4.jpg,49.1906666667,16.6729830556,přístupné
Pozorovatelna,https://www.kafelanka.cz/mista/bunkr2.php,https://www.kafelanka.cz/v/bunkr2-1.jpg,49.2148038889,16.6347238889,přístupné
Zahrady,https://www.kafelanka.cz/mista/dum2.php,https://www.kafelanka.cz/v/dum2-10.jpg,49.2145694444,16.6295861111,přístupné
Propustek,https://www.kafelanka.cz/mista/propustek.php,https://www.kafelanka.cz/v/propustek-1.jpg,49.2141333333,16.628925,přístupné
Kryt I,https://www.kafelanka.cz/mista/kryt3.php,https://www.kafelanka.cz/v/kryt3-1.jpg,49.1868116667,16.6120080556,přístupné
Kříž,https://www.kafelanka.cz/mista/kriz.php,https://www.kafelanka.cz/v/kriz-4.jpg,49.1841944444,16.6088944444,přístupné
Odlehčovací komora,https://www.kafelanka.cz/mista/odlehcovacka2.php,https://www.kafelanka.cz/v/odlehcovacka2-1.jpg,49.1832897222,16.6078947222,přístupné
Kryt II,https://www.kafelanka.cz/mista/kryt5.php,https://www.kafelanka.cz/v/kryt5-1.jpg,49.1832566667,16.6106330556,přístupné
Kříž,https://www.kafelanka.cz/mista/kriz.php,https://www.kafelanka.cz/v/kriz-1.jpg,49.1833813889,16.6108880556,neexistuje
Studna,https://www.kafelanka.cz/mista/studna.php,https://www.kafelanka.cz/v/studna-1.jpg,49.1797730556,16.6128930556,přístupné
Podchod,https://www.kafelanka.cz/mista/podchod3.php,https://www.kafelanka.cz/v/podchod3-1.jpg,49.1830361111,16.60425,přístupné
Nouzák,https://www.kafelanka.cz/mista/nouzak2.php,https://www.kafelanka.cz/v/nouzak2-5.jpg,49.1786305556,16.5977555556,přístupné
Nouzák,https://www.kafelanka.cz/mista/nouzak2.php,https://www.kafelanka.cz/v/nouzak2-1.jpg,49.1795611111,16.5973027778,přístupné
Pozorovatelna,https://www.kafelanka.cz/mista/pozorovatelna3.php,https://www.kafelanka.cz/v/pozorovatelna3-1.jpg,49.1834247222,16.5916847222,přístupné
Dům,https://www.kafelanka.cz/mista/dum3.php,https://www.kafelanka.cz/v/dum3-1.jpg,49.1936361111,16.5659333333,neexistuje
Potok,https://www.kafelanka.cz/mista/potok2.php,https://www.kafelanka.cz/v/potok2-1.jpg,49.1927947222,16.5653197222,přístupné
Restaurace,https://www.kafelanka.cz/mista/strel.php,https://www.kafelanka.cz/v/strel-1.jpg,49.1921102778,16.5647038889,přístupné
Potok,https://www.kafelanka.cz/mista/potok2.php,https://www.kafelanka.cz/v/potok2-6.jpg,49.1929972222,16.5635555556,přístupné
Plynoměr,https://www.kafelanka.cz/mista/plynomer.php,https://www.kafelanka.cz/v/plynomer-1.jpg,49.1969866667,16.5660380556,přístupné
Kryt,https://www.kafelanka.cz/mista/kryt2.php,https://www.kafelanka.cz/v/kryt2-2.jpg,49.197,16.5647466667,přístupné
Vodojem,https://www.kafelanka.cz/mista/vodojem3.php,https://www.kafelanka.cz/v/vodojem3-1.jpg,49.19731,16.5644016667,přístupné
Čerpadlo,https://www.kafelanka.cz/mista/cerpadlo.php,https://www.kafelanka.cz/v/cerpadlo-1.jpg,49.2222516667,16.666145,přístupné
Vodojem,https://www.kafelanka.cz/mista/vodojem4.php,https://www.kafelanka.cz/v/vodojem4-1.jpg,49.2221555556,16.6659027778,přístupné
Štoly,https://www.kafelanka.cz/mista/stoly.php,https://www.kafelanka.cz/v/stoly-1.jpg,49.2183380556,16.6668030556,přístupné
Kryt CO,https://www.kafelanka.cz/mista/krytco2.php,https://www.kafelanka.cz/v/krytco2-2.jpg,49.249175,16.5945747222,přístupné
Odlehčovací komora,https://www.kafelanka.cz/mista/odlehcovacka.php,https://www.kafelanka.cz/v/odlehcovacka-1.jpg,49.2354694444,16.5916777778,přístupné
Jeskyňka,https://www.kafelanka.cz/mista/jeskyn4.php,https://www.kafelanka.cz/v/jeskyn4-1.jpg,49.2187077778,16.6674177778,přístupné
